headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
"General Electric Company Stock Is Ugly, But It Has Potential for the Gambler",03/15/2018,https://web.archive.org/web/20180315140437/https://finance.yahoo.com/news/,['PG'],,Yahoo Finance,https://web.archive.org/web/20180315140437/https://finance.yahoo.com/news/,Gamble,2.8
"Vetr Top Raters Upgrade Square, 82% Bullish",03/08/2016,https://web.archive.org/web/20160308112912/http://www.benzinga.com:80/trading-ideas,['PG'],,Benzinga,https://web.archive.org/web/20160308112912/http://www.benzinga.com:80/trading-ideas,PG,2.8
Procter & Gamble sales bouyed by higher prices,03/04/2016,http:///web/20160304084008/http://www.marketwatch.com/story/procter-gamble-sales-bouyed-by-higher-prices-2016-01-26,['PG'],,MarketWatch,https://web.archive.org/web/20160304084008/http://www.marketwatch.com:80/investing/Stock/PG?,Procter,2.8
P&G Picks Sullivan Higdon & Sink to Market Tide Dry Cleaners,03/04/2016,http:///web/20160304084008/http://www.marketwatch.com/story/pg-picks-sullivan-higdon-sink-to-market-tide-dry-cleaners-2016-02-16,['PG'],,MarketWatch,https://web.archive.org/web/20160304084008/http://www.marketwatch.com:80/investing/Stock/PG?,P&G,2.8
"P&G to Webcast Presentation from the Consumer 
      Analyst Group of New York Conference 2016",03/04/2016,http:///web/20160304084008/http://www.marketwatch.com/story/pg-to-webcast-presentation-from-the-consumer-analyst-group-of-new-york-conference-2016-2016-02-10,['PG'],,MarketWatch,https://web.archive.org/web/20160304084008/http://www.marketwatch.com:80/investing/Stock/PG?,P&G,2.8
Procter & Gamble Company (The)PG:NYSE,03/04/2015,https://web.archive.org/web/20150304032229/http://www.benzinga.com:80/stock/pg,['PG'],,Benzinga,https://web.archive.org/web/20150304032229/http://www.benzinga.com:80/stock/pg,Procter,2.8
By How Much Will Procter & Gamble Raise Its Dividend?,02/26/2017,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,Procter,2.8
Will Procter & Gamble Raise Its Dividend In 2017,02/26/2017,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,Procter,2.8
"The Zacks Analyst Blog Highlights: Amgen, Procter & Gamble, Bank of America, Netflix and Honda",02/26/2017,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,Procter,2.8
Procter & Gamble: How To Extract More Value From The Stock,02/26/2017,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170226134801/https://www.thestreet.com/quote/PG.html,Procter,2.8
"PG is up 0.26% today,but where's it headed in March?",02/25/2018,https://web.archive.org/web/20180225095407/https://www.zacks.com/stock/quote/pg,['PG'],,Zacks,https://web.archive.org/web/20180225095407/https://www.zacks.com/stock/quote/pg,PG,2.8
P&G; To Webcast Presentation From The Consumer Analyst Group Of New York Conference 2017,02/16/2017,https://web.archive.org/web/20170216060142/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170216060142/https://www.thestreet.com/quote/PG.html,P&G,2.8
"Alibaba, Procter, and Priceline Look Ready to Outperform in February",02/16/2017,https://web.archive.org/web/20170216060142/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170216060142/https://www.thestreet.com/quote/PG.html,Procter,2.8
Procter & Gamble Remains a Treacherous Investment for People,02/16/2017,https://web.archive.org/web/20170216060142/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170216060142/https://www.thestreet.com/quote/PG.html,Procter,2.8
