headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Exxon Mobil Gets Hit With One-Two Punch of Analyst Downgrade and Falling Oil,03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
Stock Market News: ExxonMobil Loses Energy; Tilray Takes a Tumble,03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
Exxon Mobil Stock Takes a Hit on a New Downgrade,03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
Will ExxonMobil (XOM) Restart Share Repurchase Program?,03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
ExxonMobil shares fall premarket after Cowen downgrades to market perform and slashes price target,03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
"Exxon Mobil downgraded, stock target cut 25% amid natural gas spending",03/09/2019,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190309005234/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
Exxon Mobil stock price target cut to $64 from $72 at J.P. Morgan,03/06/2020,https://web.archive.org/web/20200306115825/https://www.marketwatch.com/investing/stock/XOM,['XOM'],,MarketWatch,https://web.archive.org/web/20200306115825/https://www.marketwatch.com/investing/stock/XOM,Exxon,2.8
"Dow's 284-point drop led by losses for JPMorgan Chase, Exxon Mobil shares",03/06/2020,https://web.archive.org/web/20200306115825/https://www.marketwatch.com/investing/stock/XOM,['XOM'],,MarketWatch,https://web.archive.org/web/20200306115825/https://www.marketwatch.com/investing/stock/XOM,Exxon,2.8
"3 Reasons to Bank on Exxon Mobil, Even as Oil Prices Stay Low",03/04/2016,https://web.archive.org/web/20160304015654/http://www.thestreet.com/story/13481764/1/3-reasons-to-bank-on-exxon-mobil-even-as-oil-prices-stay-low.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['XOM'],,MarketWatch,https://web.archive.org/web/20160304015654/http://www.marketwatch.com:80/investing/stock/xom,Exxon,2.8
"Is Our Trade Of The Year a True 10 Bagger? - XOM, ECA, YPF, and EC",03/04/2016,http:///web/20160304015654/http://www.marketwatch.com/story/is-our-trade-of-the-year-a-true-10-bagger---xom-eca-ypf-and-ec-2016-02-24,['XOM'],,MarketWatch,https://web.archive.org/web/20160304015654/http://www.marketwatch.com:80/investing/stock/xom,XOM,2.8
"XOM is up 2.20% today,but where's it headed in March?",02/25/2018,https://web.archive.org/web/20180225125300/https://www.zacks.com/stock/quote/xom,['XOM'],,Zacks,https://web.archive.org/web/20180225125300/https://www.zacks.com/stock/quote/xom,XOM,2.8
"ExxonMobil (XOM), Total to Expand Capacity at PNG LNG Plant",02/25/2018,https://web.archive.org/web/20180225125300/https://www.zacks.com/stock/quote/xom,['XOM'],,Zacks,https://web.archive.org/web/20180225125300/https://www.zacks.com/stock/quote/xom,Exxon,2.8
Exxon Mobil Proved Oil Reserves Worth Close to $800 Billion Even At Depressed Prices,02/20/2016,http:///web/20160220140443/http://www.marketwatch.com/story/exxon-mobil-proved-oil-reserves-worth-close-to-800-billion-even-at-depressed-prices-2016-02-19,['XOM'],,MarketWatch,https://web.archive.org/web/20160220140443/http://www.marketwatch.com/investing/stock/XOM,Exxon,2.8
"Behind the Curtain: Factors of Growth - Analyst Notes on Exxon Mobil, Southern Co., Visa and Amgen",02/20/2016,http:///web/20160220140443/http://www.marketwatch.com/story/behind-the-curtain-factors-of-growth---analyst-notes-on-exxon-mobil-southern-co-visa-and-amgen-2016-02-04,['XOM'],,MarketWatch,https://web.archive.org/web/20160220140443/http://www.marketwatch.com/investing/stock/XOM,Exxon,2.8
HALBERDIER Holdings Exxon Area Land - Big Vertical Plans with Houston Family Office in Glut Market,02/20/2016,http:///web/20160220140443/http://www.marketwatch.com/story/halberdier-holdings-exxon-area-land---big-vertical-plans-with-houston-family-office-in-glut-market-2016-01-28,['XOM'],,MarketWatch,https://web.archive.org/web/20160220140443/http://www.marketwatch.com/investing/stock/XOM,Exxon,2.8
"The Zacks Analyst Blog Highlights: BP, Walt Disney, Pfizer, Hospira and ExxonMobil",02/10/2015,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,['XOM'],,Zacks,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,Exxon,2.8
"Dow 30 Stock Roundup: Disney, Exxon Beat, United Technologies Raises Dividend",02/10/2015,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,['XOM'],,Zacks,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,Exxon,2.8
"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, Devon Energy, Valero Energy and Phillips 66",02/10/2015,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,['XOM'],,Zacks,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,Exxon,2.8
"Analysts` Actions: Alcoa, Abbvie, Pfizer, Exxon Mobil, Prudential - TheStreet.com",02/10/2015,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,['XOM'],,Zacks,https://web.archive.org/web/20150210041326/http://www.zacks.com:80/stock/quote/XOM?,Exxon,2.8
"Exxon Investors Becoming 'Fatigued,' Top Analyst Says",02/09/2017,https://web.archive.org/web/20170209061043/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20170209061043/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
"The Zacks Analyst Blog Highlights: Exxon Mobil, Royal Dutch Shell, ConocoPhillips, Marathon Petroleum and Petrobras",02/09/2017,https://web.archive.org/web/20170209061043/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20170209061043/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
